id;lat;long;sample1C;sample2A
1;-27,6074803;-48,4419763;0,20450282;0,43003064
2;-27,5307718;-48,44112398;-0,08626198;-0,042372864
3;-27,55329574;-48,45406581;0,0336972;0,10926694
4;-27,57734173;-48,45654823;-0,04792746;0,010380592
5;-27,5785385;-48,44801502;0,00443459;0,077528104
6;-27,55347718;-48,44920239;0,040044494;0,122115895
7;-27,59811182;-48,46244899;0,028842643;0,09710394
8;-27,52897734;-48,44167161;-0,07418398;-0,024154594
9;-27,58347088;-48,45620424;-0,008602151;0,05825241
10;-27,57021493;-48,45661143;-0,060179256;-0,004054022
11;-27,52779253;-48,43613252;-0,005048187;0,056603782
12;-27,61318165;-48,47243311;-0,033641715;0,024899602
13;-27,58868212;-48,45993204;-0,042287074;0,015812809
14;-27,54423228;-48,45184551;0,04199354;0,117204815
15;-27,60693107;-48,44644551;-0,04844467;0,008238954
16;-27,60534734;-48,46339632;0,005580357;0,085005894
17;-27,53360304;-48,44298146;0,009252669;0,09049076
18;-27,56039726;-48,45754655;-0,05739365;0,002919703
19;-27,51691997;-48,42879489;0,003909304;0,061783202
20;-27,60795581;-48,45310648;0,035984848;0,10555718
21;-27,56158016;-48,4531659;-0,026474128;0,0440806
22;-27,58982122;-48,45808295;-0,042871386;0,01529354
23;-27,57024382;-48,44344835;0,19376393;0,31387666
24;-27,55834181;-48,44878619;0,01734104;0,09116677
25;-27,56679256;-48,45203305;-0,051233396;0,010781703
26;-27,52325823;-48,44959693;0,078431375;0,17558214
27;-27,59969365;-48,44539806;-0,059777103;-0,001528299
28;-27,61309146;-48,47243518;-0,04336842;0,01329036
29;-27,60034239;-48,44143322;-0,0615289;-0,003335564
30;-27,5439914;-48,45347067;-0,04595186;0,015310253
31;-27,58945876;-48,44816714;-0,019607844;0,050352458
32;-27,60437708;-48,44984701;-0,049773756;0,011800933
33;-27,61342084;-48,47070569;-0,037449393;0,023279332
34;-27,55688019;-48,44780762;0,04347826;0,12560646
35;-27,59802293;-48,44776614;-0,048543688;0,014939761
36;-27,57251819;-48,44936943;-0,033027522;0,043378964
37;-27,56212315;-48,4532546;-0,041894354;0,024265675
38;-27,54753475;-48,45480611;-0,051590107;0,00696056
39;-27,56066783;-48,45754032;-0,05858586;0
40;-27,60400686;-48,45917341;-0,072383076;-0,018310694
41;-27,58548302;-48,44785418;0,041243274;0,13320823
42;-27,57231735;-48,44826031;-0,011120616;0,07361963
43;-27,52787152;-48,43552343;-0,037456445;0,016949156
44;-27,567926;-48,44988066;-0,017988008;0,056277096
45;-27,61420326;-48,48395683;0,042944785;0,11637488
46;-27,5857868;-48,45949248;-0,054811206;-0,002541292
47;-27,57217417;-48,45028865;-0,049597856;0,011577404
48;-27,55981778;-48,46039463;-0,057513915;-0,001288634
49;-27,58827401;-48,44262497;0,013182675;0,08012706
50;-27,54423109;-48,45670436;-0,059945505;-0,006593409
51;-27,58696297;-48,45966788;-0,056329496;-0,003158566
52;-27,58985088;-48,45970255;-0,044071354;0,012439125
53;-27,59263661;-48,44434653;-0,043357935;0,01768707
54;-27,60055064;-48,46259534;0,023255814;0,09301458
55;-27,61024601;-48,47969194;0,28267974;0,50889677
56;-27,54063584;-48,45253587;-0,03583062;0,04437873
57;-27,61212494;-48,46891227;-0,03954802;0,020102844
58;-27,5419491;-48,46019855;0,025330396;0,098351344
59;-27,59318626;-48,4497011;-0,032088373;0,0368787
60;-27,52578638;-48,44478177;-0,051590107;0,004580173
61;-27,55722314;-48,44192794;0,006163328;0,08591064
62;-27,5904544;-48,45816961;-0,036131773;0,02459891
63;-27,58900504;-48,45293718;-0,011709602;0,06291995
64;-27,59227135;-48,4490134;-0,04429134;0,019646369
65;-27,57479423;-48,44557038;0,06939704;0,14315714
66;-27,6131321;-48,47962584;0,074074075;0,22160666
67;-27,52360696;-48,44402254;-0,06423358;-0,014331186
68;-27,53435039;-48,45419915;-0,04767184;0,008888915
69;-27,58083229;-48,45008834;0,03448276;0,13640468
70;-27,56594883;-48,46015219;-0,061250806;-0,006793492
71;-27,54790903;-48,4604663;-0,047182176;0,0092264
72;-27,54653028;-48,45908084;-0,070032574;-0,019830048
73;-27,56230538;-48,44353117;0,077198;0,15052353
74;-27,56217139;-48,45588578;-0,059431523;0
75;-27,58408247;-48,46003809;0,22973879;0,3833701
76;-27,54234572;-48,45229396;0,03937008;0,17956658
77;-27,61721091;-48,48064664;-0,02316844;0,041397132
78;-27,59813732;-48,44908007;-0,051356588;0,012025001
79;-27,61827958;-48,4650228;-0,046153847;0,017453142
80;-27,60569328;-48,46257809;-0,07159054;-0,021739138
81;-27,59731308;-48,46317632;0,054642722;0,12803532
82;-27,53150145;-48,43665369;0,2725367;0,54404145
83;-27,62549544;-48,47478402;-0,059375;-0,007985806
